threshold , average , min , max , hits
0.99 , 0.87403869220222 , 0 , 1 , 90
0.9 , 0.862706843774129 , 0 , 1 , 911
0.8 , 0.832583014464055 , 0 , 1 , 1850
0.7 , 0.744746599275864 , 0 , 1 , 2742
0.5 , 0.545787582829456 , 0 , 1 , 3451
0.3 , 0.431984201226567 , 0 , 1 , 3796
