0	19618315	19618315	19618315	19618315
100	19529473	19818923	20032915	19618315
200	19099384	19314595	19286117	19618315
400	18388801	18352599	18654891	19618315
700	15411724	16676881	17447929	19618315
1000	13091530	14776984	15677496	19618315
1500	11248295	13328320	13895918	19618315
2000	10455841	11460073	13003585	19618315
2500	10193626	11025845	11776387	19618315
3000	10030867	10893632	11182429	19618315
