100	0.146180067	0.254	0.020557642	0.0205
200	0.267882516	0.4205	0.047252908	0.047
400	0.456571016	0.6885	0.110827412	0.1105
700	0.660270163	0.9065	0.203433777	0.203
1000	0.788522121	0.97	0.307146982	0.306
1500	0.894569553	0.996	0.478151076	0.4765
2000	0.934755007	0.9965	0.608380208	0.6065
2500	0.961795958	0.9995	0.738457711	0.736
3000	0.974500829	0.9995	0.823915272	0.8215
