threshold , average , min , max , hits
0.99 , 0.726208520015875 , 1.04161241602E-05 , 1 , 1000
0.98 , 0.740357266140061 , 1.04161241602E-05 , 1 , 2000
0.95 , 0.774684505972331 , 1.04161241602E-05 , 1 , 5000
