threshold , average , min , max , hits
0.99 , 8.14166497048647E-08 , 0 , 4.07083248524323E-05 , 1
0.98 , 1.13106868651696E-07 , 0 , 4.07083248524323E-05 , 4
0.95 , 1.59365305773939E-07 , 0 , 4.07083248524323E-05 , 13
