topo, k, flow_count, threshold, cm_avg, cm_hit, cm_time, sv_avg, sv_hit, sv_time, cs_avg, cs_hit, cs_time, cm_min, cm_max, sv_min, sv_max, cs_min, cs_max
fattree8,3000,50000,0.95 ,0.00103164642356423,377,106.2829,0.0203659431616884,1361,47581.4934,0.0189154153935421,1662,342.9106,0 , 0.271762007979141 ,0 , 0.499979979178345 ,0 , 0.95582082205267 ,
fattree8,100,100000,0.99 ,0.726208520015875,1000,104.2779,0.926542571623577,989,35982.6908,1.01277173205267,1000,283.7215,1.04161241602E-05 , 1 ,0 , 1 ,0.00880491513582378 , 7.99200941327486 ,
fattree8,100,100000,0.98 ,0.740357266140061,2000,104.2779,0.931371325226792,1984,35982.6908,1.06318594700987,2000,283.7215,1.04161241602E-05 , 1 ,0 , 1 ,0.0030134853469275 , 7.99200941327486 ,
fattree8,100,100000,0.95 ,0.774684505972331,5000,104.2779,0.931513621031249,4956,35982.6908,1.13768184407822,5000,283.7215,1.04161241602E-05 , 1 ,0 , 1 ,0.0030134853469275 , 12.7339395039522 ,
fattree8,200,100000,0.99 ,0.558733587639998,1000,142.3785,179869213850.338,981,79801.1819,0.894118637089009,1000,369.9494,3.03253914502613E-05 , 1 ,0 , 16964395219435.9 ,0.000121927676566517 , 4.76054279526761 ,
fattree8,200,100000,0.98 ,0.567622427387057,1998,142.3785,213720274255.564,1974,79801.1819,0.926198811444669,2000,369.9494,0 , 1 ,0 , 29087736012888.9 ,0.000121927676566517 , 6.82081433386201 ,
fattree8,200,100000,0.95 ,0.612419814233971,4993,142.3785,250230258733.976,4924,79801.1819,1.03968334365036,5000,369.9494,0 , 1 ,0 , 41563945584904 ,5.41301288297066E-05 , 9.69278810408922 ,
fattree8,400,100000,0.99 ,0.303607574144542,980,135.36,0.721628434344063,962,156133.073,0.514141058722917,999,423.1249,0 , 1 ,0 , 1 ,0 , 3.13097432911775 ,
fattree8,400,100000,0.98 ,0.320323196769079,1958,135.36,0.730290044911135,1931,156133.073,0.57539122917907,1999,423.1249,0 , 1 ,0 , 1 ,0 , 3.35095158823 ,
fattree8,400,100000,0.95 ,0.365344833652525,4904,135.36,0.7431712226365,4837,156133.073,0.746816748813272,4996,423.1249,0 , 1 ,0 , 1 ,0 , 7.00101217270863 ,
fattree8,700,100000,0.99 ,0.144739823797649,928,142.3785,0.57646121775023,931,270889.8059,0.238527822459664,993,558.4852,0 , 1 ,0 , 1 ,0 , 1.81514806622716 ,
fattree8,700,100000,0.98 ,0.150053794714199,1854,142.3785,0.582840260856606,1876,270889.8059,0.277329026886043,1989,558.4852,0 , 1 ,0 , 1 ,0 , 2.42982631263725 ,
fattree8,700,100000,0.95 ,0.171797894149657,4679,142.3785,0.590597150881285,4703,270889.8059,0.405763749170088,4981,558.4852,0 , 1 ,0 , 1 ,0 , 4.83333899283507 ,
fattree8,1000,100000,0.99 ,0.0722373064111765,909,126.3359,0.455167817459724,901,357131.0744,0.171359578240775,991,630.7098,0 , 0.958368724817598 ,0 , 1 ,0 , 1.40455416749289 ,
fattree8,1000,100000,0.98 ,0.0759605329401498,1805,126.3359,0.45253867195052,1821,357131.0744,0.190205360242186,1983,630.7098,0 , 1 ,0 , 1 ,0 , 1.56508372906773 ,
fattree8,1000,100000,0.95 ,0.090472826043332,4525,126.3359,0.458732231874095,4580,357131.0744,0.253607776279731,4965,630.7098,0 , 1 ,0 , 1 ,0 , 2.81875932262876 ,
fattree8,1500,100000,0.99 ,0.0336964666690995,812,170.4528,159152253553.742,863,416091.7381,0.106170133017191,976,738.9637,0 , 1 ,0 , 25627027009277.2 ,0 , 0.914381934257557 ,
fattree8,1500,100000,0.98 ,0.0339384914226091,1619,170.4528,160184759575.444,1732,416091.7381,0.111446215625135,1950,738.9637,0 , 1 ,0 , 28222256333472.9 ,0 , 1.20241086626756 ,
fattree8,1500,100000,0.95 ,0.038236595415785,4104,170.4528,202891368607.686,4390,416091.7381,0.145640229442269,4894,738.9637,0 , 1 ,0 , 37350660228617.4 ,0 , 1.90973422644771 ,
fattree8,2000,100000,0.99 ,0.0169965150081258,735,179.4773,0.186179429988452,812,428368.7178,0.0825087371922688,963,802.1318,0 , 0.581784905197139 ,0 , 1 ,0 , 0.887995784732052 ,
fattree8,2000,100000,0.98 ,0.0175077837566386,1455,179.4773,0.182804896410898,1625,428368.7178,0.0869509870529352,1925,802.1318,0 , 0.581784905197139 ,0 , 1 ,0 , 0.934996701253524 ,
fattree8,2000,100000,0.95 ,0.0191999890616871,3635,179.4773,0.181323151873296,4151,428368.7178,0.10563599866596,4827,802.1318,0 , 1 ,0 , 1 ,0 , 1.63631696321135 ,
fattree8,100,200000,0.99 ,0.846352875305882,2000,246.6551,5319470322.10369,1991,85523.3606,1.12540000920915,2000,676.7988,3.92482282228402E-05 , 1 ,0 , 5912327013466.41 ,0.0037624379752588 , 10.7727819771125 ,
fattree8,100,200000,0.98 ,0.856357573196364,4000,246.6551,12594531000.4322,3985,85523.3606,1.14964094365654,4000,676.7988,3.92482282228402E-05 , 1 ,0 , 14300422401057.8 ,0.0037624379752588 , 11.4970339136633 ,
fattree8,100,200000,0.95 ,0.872721662802878,10000,246.6551,16602771167.5687,9958,85523.3606,1.18283024282669,10000,676.7988,3.92482282228402E-05 , 1 ,0 , 14300422401057.8 ,0.000930523198554633 , 20.9733159840084 ,
fattree8,2500,100000,0.99 ,0.00824446144222605,636,190.5068,0.115568171880472,772,395803.1766,0.0551951307248964,943,758.984,0 , 0.306887046653521 ,0 , 1 ,0 , 0.565468822920683 ,
fattree8,2500,100000,0.98 ,0.00847844687963387,1250,190.5068,0.118315788204696,1542,395803.1766,0.0588689413362979,1881,758.984,0 , 0.503166313452417 ,0 , 1 ,0 , 0.705771265400849 ,
fattree8,2500,100000,0.95 ,0.0104818087754641,3119,190.5068,0.116166187338682,3931,395803.1766,0.0683209311142184,4690,758.984,0 , 0.957209022936723 ,0 , 1 ,0 , 1.24511031038624 ,
fattree8,3000,100000,0.99 ,0.00559890114770433,536,205.5113,0.0854461194580624,738,343037.9524,0.0412638317654203,901,778.0669,0 , 0.956476134864508 ,0 , 0.745543562924224 ,0 , 0.813162746635972 ,
fattree8,3000,100000,0.98 ,0.00613765519320425,1055,205.5113,0.0829108686206358,1464,343037.9524,0.0452069984539418,1806,778.0669,0 , 0.956476134864508 ,0 , 0.745543562924224 ,0 , 0.813162746635972 ,
fattree8,3000,100000,0.95 ,0.0067627183003428,2628,205.5113,0.0784647641553779,3731,343037.9524,0.0533355038024251,4524,778.0669,0 , 0.956476134864508 ,0 , 1 ,0 , 1.24981366459627 ,
fattree8,200,200000,0.99 ,0.733405865124767,2000,250.633,24721135664.84,1984,165462.8754,1.09793229431502,2000,586.5595,0.00017046451580557 , 1 ,0 , 8351326521482.33 ,0.00119061374380203 , 10.6363716775021 ,
