fattree8,50000,100,48.1273,16929.0053
fattree8,50000,200,60.1596,34026.4572
fattree8,50000,400,65.1744,64253.8147
fattree8,50000,700,121.3226,91642.628
fattree8,50000,1000,57.1521,96821.5505
fattree8,50000,1500,69.1841,73076.1528
fattree8,50000,2000,99.264,67826.8861
fattree8,100000,100,129.343,37293.1425
fattree8,100000,200,90.2399,71084.9762
fattree8,100000,400,89.2374,141177.3135
fattree8,50000,2500,99.2634,54809.5166
fattree8,100000,700,135.3593,265341.3984
fattree8,50000,3000,92.2458,44736.9305
fattree8,100000,1000,124.3308,339606.8291
fattree8,100000,1500,113.301,393126.1081
fattree8,100000,2000,134.3569,402240.3375
fattree8,200000,100,205.5456,72393.4546
fattree8,200000,200,201.5353,143198.6872
fattree8,100000,2500,195.5197,366923.4493
fattree8,200000,400,179.4764,330887.6498
fattree8,200000,700,219.5836,577101.1975
fattree8,100000,3000,143.3823,301747.1801
fattree8,200000,1000,251.6702,820208.5804
fattree8,200000,1500,242.6441,1188658.9962
fattree8,200000,2000,300.7997,1484698.0024
fattree8,300000,100,323.8611,122174.7965
fattree8,300000,200,329.8768,256906.4802
fattree8,300000,400,325.8662,522606.4248
fattree8,200000,2500,306.8157,1610191.1002
fattree8,300000,700,328.874,949764.9073
fattree8,200000,3000,302.805,1627342.3005
fattree8,300000,1000,385.0249,1332067.2467
fattree8,300000,1500,371.9887,2043743.4283
fattree8,300000,2000,454.2073,2584804.1886
hyperx9,50000,100,40.107,13209.4558
hyperx9,50000,200,58.1561,25206.6557
hyperx9,50000,400,42.113,41659.8168
fattree8,300000,2500,480.2766,3020658.9098
hyperx9,50000,700,63.1687,42432.6199
hyperx9,50000,1000,80.2148,27129.6439
fattree8,300000,3000,500.3306,3121738.7879
hyperx9,50000,1500,47.1257,4746.6793
hyperx9,50000,2000,69.185,991.6494
hyperx9,100000,100,82.2191,25159.0452
hyperx9,100000,200,94.2512,50467.488
hyperx9,100000,400,97.259,94076.701
hyperx9,50000,2500,78.2079,220.5893
hyperx9,50000,3000,104.2772,78.2087
hyperx9,100000,700,80.2138,141797.8699
hyperx9,100000,1000,142.3791,165020.259
hyperx9,100000,1500,187.4992,141396.8024
hyperx9,100000,2000,125.3338,90585.3969
hyperx9,200000,100,132.3527,53440.41
hyperx9,200000,200,164.4382,111271.5225
hyperx9,200000,400,180.481,227265.6296
hyperx9,100000,2500,137.3669,37844.85
hyperx9,100000,3000,123.3288,14352.2463
hyperx9,200000,700,233.6213,418754.7449
hyperx9,200000,1000,223.5939,549920.37
hyperx9,200000,1500,272.7251,735087.1961
hyperx9,200000,2000,229.6106,781630.9299
hyperx9,300000,100,252.673,84609.9305
hyperx9,300000,200,240.6394,172150.6552
hyperx9,200000,2500,241.6432,658067.4441
hyperx9,300000,400,236.6288,353847.6881
hyperx9,300000,700,358.9545,688782.0955
hyperx9,300000,1000,310.8263,914837.053
hyperx9,200000,3000,252.6723,575252.2816
hyperx9,300000,1500,291.7755,1252382.4026
hyperx9,300000,2000,358.9543,1534735.023
hyperx9,300000,2500,382.0158,1590600.5031
hyperx9,300000,3000,356.9489,1546435.6368
