CountMax ,fattree8 ,50000 , 100 ,  0.99 , 0.433658090813474 , 0 , 1 , 326
CountMax ,fattree8 ,50000 , 100 ,  0.98 , 0.436480285038219 , 0 , 1 , 656
CountMax ,fattree8 ,50000 , 100 ,  0.95 , 0.384984106067461 , 0 , 1 , 1454
SketchVisor ,fattree8 ,50000 , 100 ,  0.99 , 0.0962841956773258 , 0 , 1.02399948937257 , 48
SketchVisor ,fattree8 ,50000 , 100 ,  0.98 , 0.0833143698675653 , 0 , 1.04487982126636 , 83
SketchVisor ,fattree8 ,50000 , 100 ,  0.95 , 0.0831042542987777 , 0 , 1.05947523800046 , 207
CountMax ,fattree8 ,50000 , 200 ,  0.99 , 0.658798905720042 , 0 , 1 , 448
CountMax ,fattree8 ,50000 , 200 ,  0.98 , 0.664798508445531 , 0 , 1 , 890
CountMax ,fattree8 ,50000 , 200 ,  0.95 , 0.618541848218581 , 0 , 1 , 2139
SketchVisor ,fattree8 ,50000 , 200 ,  0.99 , 0.192476012589723 , 0 , 1.02539838597354 , 96
SketchVisor ,fattree8 ,50000 , 200 ,  0.98 , 0.18077413080121 , 0 , 1.10751595367525 , 180
SketchVisor ,fattree8 ,50000 , 200 ,  0.95 , 0.199030062674429 , 0 , 1.17387747396243 , 495
CountMax ,fattree8 ,50000 , 400 ,  0.99 , 0.879224738644894 , 0 , 1 , 497
CountMax ,fattree8 ,50000 , 400 ,  0.98 , 0.878123300018885 , 0 , 1 , 994
CountMax ,fattree8 ,50000 , 400 ,  0.95 , 0.858479908004883 , 0 , 1 , 2467
SketchVisor ,fattree8 ,50000 , 400 ,  0.99 , 0.443806933832371 , 0 , 1.16765257238075 , 221
SketchVisor ,fattree8 ,50000 , 400 ,  0.98 , 0.422753742601648 , 0 , 1.16765257238075 , 421
SketchVisor ,fattree8 ,50000 , 400 ,  0.95 , 0.447528913467498 , 0 , 1.16765257238075 , 1113
CountMax ,fattree8 ,50000 , 700 ,  0.99 , 0.960604648621915 , 0.315382485141555 , 1 , 500
CountMax ,fattree8 ,50000 , 700 ,  0.98 , 0.958834207799842 , 0 , 1 , 999
CountMax ,fattree8 ,50000 , 700 ,  0.95 , 0.946096226786016 , 0 , 1 , 2494
SketchVisor ,fattree8 ,50000 , 700 ,  0.99 , 0.702899494678174 , 0 , 1.14519208577243 , 350
SketchVisor ,fattree8 ,50000 , 700 ,  0.98 , 0.69772295436373 , 0 , 1.14519208577243 , 695
SketchVisor ,fattree8 ,50000 , 700 ,  0.95 , 0.720343458560221 , 0 , 1.28176937666763 , 1793
CountMax ,fattree8 ,50000 , 1000 ,  0.99 , 0.979832091880238 , 0.235279832211061 , 1 , 500
CountMax ,fattree8 ,50000 , 1000 ,  0.98 , 0.979220361358346 , 0.235279832211061 , 1 , 1000
