topo, k, flow_count, threshold, cm_avg, cm_min, cm_max, cm_hit, cm_time, cs_avg, cs_min, cs_max, cs_hit, cs_time
hyperx9,3000,129223,0.95 , 0.762554960634291 , 7.97308287222337E-06 , 1 , 6461,76.23320.95 , 0.945307121892147 , 4.11274402281202E-06 , 17.4290322580645 , 6461,425.8071
hyperx9,2500,129223,0.99 , 0.489728919530011 , 5.18250386694519E-05 , 1 , 1292,76.20760.99 , 0.429288707394514 , 0 , 3.25759822090437 , 1291,387.7833
hyperx9,2500,129223,0.98 , 0.634644098793021 , 0 , 1 , 2583,76.20760.98 , 0.829763620116678 , 0 , 237.094350961538 , 2583,387.7833
hyperx9,2500,129223,0.95 , 0.80162164173323 , 0 , 1 , 6459,76.20760.95 , 0.991963412175147 , 0 , 237.094350961538 , 6460,387.7833
hyperx9,2000,129223,0.99 , 0.54812366004484 , 4.78384972333402E-05 , 1 , 1292,78.95840.99 , 0.592223650173681 , 1.99663738724162E-05 , 6.8731657707395 , 1292,405.6971
hyperx9,2000,129223,0.98 , 0.696377592338022 , 0 , 1 , 2583,78.95840.98 , 0.836291762169332 , 1.99663738724162E-05 , 36.6782334384858 , 2584,405.6971
hyperx9,2000,129223,0.95 , 0.843314794767091 , 0 , 1 , 6459,78.95840.95 , 1.02157211874255 , 1.99663738724162E-05 , 106.277167277167 , 6461,405.6971
hyperx9,1500,129223,0.99 , 0.625638651231389 , 0.000167434740316691 , 1 , 1292,84.15890.99 , 0.704107640480813 , 0.000106587330836448 , 3.76627604166667 , 1292,380.5066
hyperx9,1500,129223,0.98 , 0.761648116345118 , 0.000167434740316691 , 1 , 2584,84.15890.98 , 0.87733406410903 , 0.000106587330836448 , 9.71068347710684 , 2584,380.5066
hyperx9,1500,129223,0.95 , 0.881871390673397 , 0 , 1 , 6460,84.15890.95 , 1.02606631490809 , 0.000106587330836448 , 30.585 , 6461,380.5066
hyperx9,1000,129223,0.99 , 0.72264400646336 , 1.59461657444467E-05 , 1 , 1292,82.17860.99 , 0.859075325757907 , 1.681599268168E-05 , 18.0129101667563 , 1292,367.2146
hyperx9,1000,129223,0.98 , 0.839891962264779 , 1.59461657444467E-05 , 1 , 2584,82.17860.98 , 1.16639538547193 , 1.681599268168E-05 , 541.969737726967 , 2584,367.2146
hyperx9,1000,129223,0.95 , 0.920605421630761 , 0 , 1 , 6459,82.17860.95 , 1.32677725665426 , 1.681599268168E-05 , 745.383838383838 , 6461,367.2146
hyperx9,700,129223,0.99 , 0.799756288336981 , 0.000111623160211127 , 1 , 1292,82.24470.99 , 0.943296325495638 , 0.000154797672405908 , 46.4099099099099 , 1292,348.964
hyperx9,700,129223,0.98 , 0.88670153703194 , 0.000111623160211127 , 1 , 2584,82.24470.98 , 1.02072414571413 , 0.000154797672405908 , 46.4099099099099 , 2584,348.964
hyperx9,700,129223,0.95 , 0.941713612848284 , 0.000111623160211127 , 1 , 6461,82.24470.95 , 1.34142354372408 , 0.000154797672405908 , 677.378424657534 , 6461,348.964
hyperx9,400,129223,0.99 , 0.874332880823931 , 0.00034473248758963 , 1 , 1292,77.72690.99 , 1.24547746826543 , 0.000520874165040042 , 184.013026052104 , 1292,364.567
hyperx9,400,129223,0.98 , 0.927294241773878 , 0.00034473248758963 , 1 , 2584,77.72690.98 , 1.75240468289246 , 0.000520874165040042 , 915.98474801061 , 2584,364.567
hyperx9,400,129223,0.95 , 0.961440106482461 , 0.00034473248758963 , 1 , 6461,77.72690.95 , 2.31104002334042 , 0.000520874165040042 , 972.75375 , 6461,364.567
hyperx9,200,129223,0.99 , 0.918550879452416 , 0.000526223469566743 , 1 , 1292,73.69630.99 , 0.978067927610294 , 0.000355360519734582 , 1 , 1292,381.6458
hyperx9,200,129223,0.98 , 0.953087212559861 , 0 , 1 , 2583,73.69630.98 , 0.989033963805147 , 0.000355360519734582 , 1
