sketch,topo,flow,k,threshold,avg,min,max,hit,hitrate,sv_avg,sv_min,sv_max,sv_hit,sv_hitrate
CountMax ,fattree6 ,10000,2000,0.8,0.999618486,0.313019391,1,1999,0.9995,1,1,1,1999,0.9995
CountMax ,fattree6 ,10000,2000,0.9,0.999941664,0.962562814,1,999,0.999,1,1,1,999,0.999
CountMax ,fattree6 ,10000,2000,0.99,1,1,1,100,1,1,1,1,100,1
CountMax ,fattree6 ,10000,4000,0.3,0.99993969,0.787234043,1,7000,1,1,1,1,7000,1
CountMax ,fattree6 ,10000,4000,0.5,0.999946335,0.787234043,1,5000,1,1,1,1,5000,1
CountMax ,fattree6 ,10000,4000,0.7,0.999999622,0.999025341,1,3000,1,1,1,1,3000,1
CountMax ,fattree6 ,10000,4000,0.8,0.99999992,0.999839409,1,1999,0.9995,1,1,1,1999,0.9995
CountMax ,fattree6 ,10000,4000,0.9,0.999999839,0.999839409,1,999,0.999,1,1,1,999,0.999
CountMax ,fattree6 ,10000,4000,0.99,1,1,1,100,1,1,1,1,100,1
CountMax ,fattree6 ,10000,7000,0.3,1,1,1,7000,1,1,1,1,7000,1
CountMax ,fattree6 ,10000,7000,0.5,1,1,1,5000,1,1,1,1,5000,1
CountMax ,fattree6 ,10000,7000,0.7,1,1,1,3000,1,1,1,1,3000,1
CountMax ,fattree6 ,10000,7000,0.8,1,1,1,1999,0.9995,1,1,1,1999,0.9995
CountMax ,fattree6 ,10000,7000,0.9,1,1,1,999,0.999,1,1,1,999,0.999
CountMax ,fattree6 ,10000,7000,0.99,1,1,1,100,1,1,1,1,100,1
CountMax ,fattree6 ,10000,10000,0.3,1,1,1,7000,1,1,1,1,7000,1
CountMax ,fattree6 ,10000,10000,0.5,1,1,1,5000,1,1,1,1,5000,1
CountMax ,fattree6 ,10000,10000,0.7,1,1,1,3000,1,1,1,1,3000,1
CountMax ,fattree6 ,10000,10000,0.8,1,1,1,1999,0.9995,1,1,1,1999,0.9995
CountMax ,fattree6 ,10000,10000,0.9,1,1,1,999,0.999,1,1,1,999,0.999
CountMax ,fattree6 ,10000,10000,0.99,1,1,1,100,1,1,1,1,100,1
CountMax ,fattree6 ,10000,50000,0.3,1,1,1,7000,1,1,1,1,7000,1
CountMax ,fattree6 ,10000,50000,0.5,1,1,1,5000,1,1,1,1,5000,1
CountMax ,fattree6 ,10000,50000,0.7,1,1,1,3000,1,1,1,1,3000,1
CountMax ,fattree6 ,10000,50000,0.8,1,1,1,1999,0.9995,1,1,1,1999,0.9995
CountMax ,fattree6 ,10000,50000,0.9,1,1,1,999,0.999,1,1,1,999,0.999
CountMax ,fattree6 ,10000,50000,0.99,1,1,1,100,1,1,1,1,100,1
CountMax ,fattree6 ,20000,10,0.3,0.013284768,0,0.998577985,331,0.023642857,0.015893324,0,0.998078401,332,0.023714286
CountMax ,fattree6 ,20000,10,0.5,0.018516944,0,0.998577985,329,0.0329,0.022241563,0,0.998078401,331,0.0331
CountMax ,fattree6 ,20000,10,0.7,0.02897263,0,0.998577985,306,0.051,0.035566944,0,0.998078401,302,0.050333333
CountMax ,fattree6 ,20000,10,0.8,0.036899109,0,0.998577985,260,0.065,0.045773058,0,0.998078401,235,0.05875
CountMax ,fattree6 ,20000,10,0.9,0.050924261,0,0.998577985,171,0.0855,0.057281136,0,0.997891865,130,0.065
CountMax ,fattree6 ,20000,10,0.99,0.074893621,0,0.976776808,27,0.135,0.0518526,0,0.988860281,11,0.055
CountMax ,fattree6 ,20000,50,0.3,0.068969426,0,1,1627,0.116214286,0.078908588,0,0.999866077,1601,0.114357143
CountMax ,fattree6 ,20000,50,0.5,0.095489599,0,1,1602,0.1602,0.109345269,0,0.999866077,1580,0.158
CountMax ,fattree6 ,20000,50,0.7,0.149763755,0,1,1493,0.248833333,0.169332688,0,0.999866077,1404,0.234
CountMax ,fattree6 ,20000,50,0.8,0.193625232,0,1,1263,0.31575,0.209045186,0,0.999866077,1052,0.263
CountMax ,fattree6 ,20000,50,0.9,0.252125534,0,1,814,0.407,0.231769188,0,0.999866077,524,0.262
CountMax ,fattree6 ,20000,50,0.99,0.330446802,0,1,104,0.52,0.243451778,0,0.998625316,52,0.26
CountMax ,fattree6 ,20000,100,0.3,0.14227686,0,1,3128,0.223428571,0.14631065,0,1,2881,0.205785714
CountMax ,fattree6 ,20000,100,0.5,0.193045514,0,1,3027,0.3027,0.203491184,0,1,2853,0.2853
CountMax ,fattree6 ,20000,100,0.7,0.286850189,0,1,2673,0.4455,0.306556072,0,1,2462,0.410333333
CountMax ,fattree6 ,20000,100,0.8,0.361898775,0,1,2216,0.554,0.371703464,0,1,1820,0.455
